"zip","name","empflag","emp_nf","emp","qp1_nf","qp1","ap_nf","ap","est","city","stabbr","cty_name"
"01081","WALES, MA",,"G",49,"G",320,"G",1532,14,"WALES","MA","HAMPDEN"
"01082","WARE, MA",,"G",2291,"H",21941,"H",86693,164,"WARE","MA","HAMPSHIRE"
"01083","WARREN, MA",,"H",245,"H",2666,"H",11219,32,"WARREN","MA","WORCESTER"
"01084","WEST CHESTERFIELD, MA",,"H",22,"J",164,"J",982,4,"WEST CHESTERFIELD","MA","HAMPSHIRE"
"01085","WESTFIELD, MA",,"G",13404,"G",129392,"G",563667,865,"WESTFIELD","MA","HAMPDEN"
"01086","WESTFIELD, MA",,"J",774,"H",5729,"H",23406,17,"WESTFIELD","MA","HAMPDEN"
"01088","WEST HATFIELD, MA",,"G",324,"G",2761,"G",12049,28,"WEST HATFIELD","MA","HAMPSHIRE"
"01089","WEST SPRINGFIELD, MA",,"G",15984,"G",146241,"G",635014,982,"WEST SPRINGFIELD","MA","HAMPDEN"
"01090","WEST SPRINGFIELD, MA",,"G",92,"G",1247,"G",5688,14,"WEST SPRINGFIELD","MA","HAMPDEN"
"01092","WEST WARREN, MA",,"J",87,"J",478,"H",2009,18,"WEST WARREN","MA","WORCESTER"
"01093","WHATELY, MA",,"H",820,"J",9540,"J",39677,32,"WHATELY","MA","FRANKLIN"
"01094","WHEELWRIGHT, MA","A","D",0,"D",0,"D",0,2,"WHEELWRIGHT","MA","WORCESTER"
"01095","WILBRAHAM, MA",,"H",4113,"H",34280,"H",149580,299,"WILBRAHAM","MA","HAMPDEN"
"01096","WILLIAMSBURG, MA",,"G",400,"G",3131,"G",13773,51,"WILLIAMSBURG","MA","HAMPSHIRE"
"01098","WORTHINGTON, MA",,"G",104,"H",711,"H",3377,20,"WORTHINGTON","MA","HAMPSHIRE"
"01101","SPRINGFIELD, MA",,"H",783,"H",5570,"H",23283,23,"SPRINGFIELD","MA","HAMPDEN"
"01102","SPRINGFIELD, MA",,"J",3024,"H",49230,"H",199383,19,"SPRINGFIELD","MA","HAMPDEN"
"01103","SPRINGFIELD, MA",,"G",6547,"G",61853,"G",275651,463,"SPRINGFIELD","MA","HAMPDEN"
"01104","SPRINGFIELD, MA",,"H",13689,"H",172140,"H",800929,515,"SPRINGFIELD","MA","HAMPDEN"
"01105","SPRINGFIELD, MA",,"G",6093,"G",52228,"G",218683,270,"SPRINGFIELD","MA","HAMPDEN"
"01106","LONGMEADOW, MA",,"H",3817,"H",29452,"H",134446,279,"LONGMEADOW","MA","HAMPDEN"
"01107","SPRINGFIELD, MA",,"G",2398,"G",33174,"G",155445,149,"SPRINGFIELD","MA","HAMPDEN"
"01108","SPRINGFIELD, MA",,"G",2452,"G",15806,"G",69182,270,"SPRINGFIELD","MA","HAMPDEN"
"01109","SPRINGFIELD, MA",,"H",7545,"H",49053,"H",216214,283,"SPRINGFIELD","MA","HAMPDEN"
"01111","SPRINGFIELD, MA","H","D",0,"D",0,"D",0,11,"SPRINGFIELD","MA","HAMPDEN"
"01115","SPRINGFIELD, MA",,"H",834,"J",53544,"J",123042,45,"SPRINGFIELD","MA","HAMPDEN"
"01116","LONGMEADOW, MA",,"J",36,"J",174,"J",801,4,"LONGMEADOW","MA","HAMPDEN"
"01118","SPRINGFIELD, MA",,"G",1501,"G",11821,"G",50913,129,"SPRINGFIELD","MA","HAMPDEN"
"01119","SPRINGFIELD, MA",,"H",3895,"H",23672,"H",99969,141,"SPRINGFIELD","MA","HAMPDEN"
"01128","SPRINGFIELD, MA",,"G",863,"H",3975,"G",16042,52,"SPRINGFIELD","MA","HAMPDEN"
"01129","SPRINGFIELD, MA",,"G",2657,"G",15369,"G",63623,162,"SPRINGFIELD","MA","HAMPDEN"
"01138","SPRINGFIELD, MA",,"G",19,"G",109,"G",778,8,"SPRINGFIELD","MA","HAMPDEN"
"01139","SPRINGFIELD, MA","C","D",0,"D",0,"D",0,2,"SPRINGFIELD","MA","HAMPDEN"
"01144","SPRINGFIELD, MA",,"H",1204,"H",24586,"H",96253,47,"SPRINGFIELD","MA","HAMPDEN"
"01151","INDIAN ORCHARD, MA",,"G",1739,"G",27255,"G",113697,145,"INDIAN ORCHARD","MA","HAMPDEN"
"01152","SPRINGFIELD, MA","A","D",0,"D",0,"D",0,2,"SPRINGFIELD","MA","HAMPDEN"
"01199","SPRINGFIELD, MA","I","D",0,"D",0,"D",0,3,"SPRINGFIELD","MA","HAMPDEN"
"01201","PITTSFIELD, MA",,"G",23192,"G",275255,"G",1158280,1294,"PITTSFIELD","MA","BERKSHIRE"
"01202","PITTSFIELD, MA",,"H",378,"J",8331,"J",26751,26,"PITTSFIELD","MA","BERKSHIRE"
"01203","PITTSFIELD, MA","A","D",0,"D",0,"D",0,1,"PITTSFIELD","MA","BERKSHIRE"
"01220","ADAMS, MA",,"G",1593,"G",14347,"G",61950,153,"ADAMS","MA","BERKSHIRE"
"01222","ASHLEY FALLS, MA",,"H",45,"G",334,"G",1588,15,"ASHLEY FALLS","MA","BERKSHIRE"
"01223","BECKET, MA",,"G",234,"H",1836,"H",11793,38,"BECKET","MA","BERKSHIRE"
"01224","BERKSHIRE, MA",,"H",23,"H",151,"H",641,4,"BERKSHIRE","MA","BERKSHIRE"
"01225","CHESHIRE, MA",,"H",366,"H",3042,"H",15383,54,"CHESHIRE","MA","BERKSHIRE"
"01226","DALTON, MA",,"G",1257,"H",18124,"H",67875,114,"DALTON","MA","BERKSHIRE"
"01227","DALTON, MA",,"H",52,"H",306,"H",1986,6,"DALTON","MA","BERKSHIRE"
"01229","GLENDALE, MA",,"J",12,"J",149,"H",871,3,"GLENDALE","MA","BERKSHIRE"
"01230","GREAT BARRINGTON, MA",,"G",5045,"G",41095,"G",182032,409,"GREAT BARRINGTON","MA","BERKSHIRE"
"01235","HINSDALE, MA",,"H",189,"H",1241,"H",7413,46,"HINSDALE","MA","BERKSHIRE"
"01236","HOUSATONIC, MA",,"H",403,"H",3064,"H",14247,42,"HOUSATONIC","MA","BERKSHIRE"
"01237","LANESBOROUGH, MA",,"G",1849,"G",9400,"G",37118,129,"LANESBOROUGH","MA","BERKSHIRE"
"01238","LEE, MA",,"G",3209,"G",22664,"G",97180,276,"LEE","MA","BERKSHIRE"
"01240","LENOX, MA",,"G",3569,"G",25518,"G",113761,249,"LENOX","MA","BERKSHIRE"
"01242","LENOX DALE, MA",,"H",130,"H",918,"H",4146,16,"LENOX DALE","MA","BERKSHIRE"
"01243","MIDDLEFIELD, MA",,"H",28,"J",151,"J",627,5,"MIDDLEFIELD","MA","HAMPSHIRE"
"01244","MILL RIVER, MA","B","D",0,"D",0,"D",0,3,"MILL RIVER","MA","BERKSHIRE"
"01245","MONTEREY, MA",,"J",144,"J",837,"J",4494,22,"MONTEREY","MA","BERKSHIRE"
"01247","NORTH ADAMS, MA",,"G",3982,"G",31804,"G",134392,333,"NORTH ADAMS","MA","BERKSHIRE"
"01252","NORTH EGREMONT, MA",,"J",5,"J",30,"J",249,5,"NORTH EGREMONT","MA","BERKSHIRE"
"01253","OTIS, MA",,"J",160,"G",801,"G",3401,31,"OTIS","MA","BERKSHIRE"
"01254","RICHMOND, MA",,"J",84,"H",679,"G",2828,30,"RICHMOND","MA","BERKSHIRE"
"01255","SANDISFIELD, MA",,"H",133,"H",1020,"H",4941,21,"SANDISFIELD","MA","BERKSHIRE"
"01256","SAVOY, MA",,"G",14,"G",150,"G",703,5,"SAVOY","MA","BERKSHIRE"
"01257","SHEFFIELD, MA",,"G",1031,"H",10665,"H",48979,108,"SHEFFIELD","MA","BERKSHIRE"
"01258","SOUTH EGREMONT, MA",,"H",456,"G",1913,"G",6908,35,"SOUTH EGREMONT","MA","BERKSHIRE"
"01259","SOUTHFIELD, MA",,"G",70,"H",619,"H",3610,24,"SOUTHFIELD","MA","BERKSHIRE"
"01260","SOUTH LEE, MA",,"H",499,"G",6106,"G",23314,12,"SOUTH LEE","MA","BERKSHIRE"
"01262","STOCKBRIDGE, MA",,"H",1425,"G",11556,"G",54962,79,"STOCKBRIDGE","MA","BERKSHIRE"
"01264","TYRINGHAM, MA","A","D",0,"D",0,"D",0,1,"TYRINGHAM","MA","BERKSHIRE"
"01266","WEST STOCKBRIDGE, MA",,"G",134,"G",934,"G",5774,46,"WEST STOCKBRIDGE","MA","BERKSHIRE"
"01267","WILLIAMSTOWN, MA",,"G",3539,"H",43264,"G",182619,215,"WILLIAMSTOWN","MA","BERKSHIRE"
"01270","WINDSOR, MA",,"J",22,"G",213,"H",1296,8,"WINDSOR","MA","BERKSHIRE"
"01301","GREENFIELD, MA",,"G",7943,"G",64869,"G",280192,544,"GREENFIELD","MA","FRANKLIN"
"01302","GREENFIELD, MA",,"H",372,"H",4692,"H",20608,22,"GREENFIELD","MA","FRANKLIN"
"01330","ASHFIELD, MA",,"G",156,"G",1180,"G",6077,37,"ASHFIELD","MA","FRANKLIN"
"01331","ATHOL, MA",,"H",2952,"H",24582,"H",115551,208,"ATHOL","MA","WORCESTER"
"01337","BERNARDSTON, MA",,"G",396,"G",2565,"G",12258,48,"BERNARDSTON","MA","FRANKLIN"
"01338","BUCKLAND, MA",,"J",143,"H",592,"H",2140,15,"BUCKLAND","MA","FRANKLIN"
"01339","CHARLEMONT, MA",,"H",336,"G",1378,"G",5649,29,"CHARLEMONT","MA","FRANKLIN"
"01340","COLRAIN, MA",,"H",106,"J",966,"H",4386,18,"COLRAIN","MA","FRANKLIN"
"01341","CONWAY, MA",,"G",106,"G",870,"G",4187,23,"CONWAY","MA","FRANKLIN"
"01342","DEERFIELD, MA",,"H",879,"H",8283,"H",35673,29,"DEERFIELD","MA","FRANKLIN"
"01343","DRURY, MA","A","D",0,"D",0,"D",0,1,"DRURY","MA","BERKSHIRE"
"01344","ERVING, MA",,"G",255,"H",2085,"H",10341,20,"ERVING","MA","FRANKLIN"
"01346","HEATH, MA",,"G",10,"G",58,"H",321,6,"HEATH","MA","FRANKLIN"
"01347","LAKE PLEASANT, MA","A","D",0,"D",0,"D",0,1,"LAKE PLEASANT","MA","FRANKLIN"
"01349","MILLERS FALLS, MA",,"J",22,"J",96,"J",499,8,"MILLERS FALLS","MA","FRANKLIN"
"01350","MONROE BRIDGE, MA","B","D",0,"D",0,"D",0,3,"MONROE BRIDGE","MA","FRANKLIN"
"01351","MONTAGUE, MA",,"G",114,"G",749,"G",3715,33,"MONTAGUE","MA","FRANKLIN"
"01354","GILL, MA",,"G",283,"G",1571,"G",7720,25,"GILL","MA","FRANKLIN"
"01355","NEW SALEM, MA",,"J",56,"H",405,"H",2244,20,"NEW SALEM","MA","FRANKLIN"
"01360","NORTHFIELD, MA",,"G",727,"G",8958,"G",34329,46,"NORTHFIELD","MA","FRANKLIN"
"01364","ORANGE, MA",,"G",1316,"G",11136,"G",48357,129,"ORANGE","MA","FRANKLIN"
"01366","PETERSHAM, MA",,"H",56,"H",231,"H",1169,31,"PETERSHAM","MA","WORCESTER"
"01367","ROWE, MA",,"G",62,"H",1500,"H",5265,6,"ROWE","MA","FRANKLIN"
"01368","ROYALSTON, MA",,"J",40,"H",166,"H",744,9,"ROYALSTON","MA","WORCESTER"
"01370","SHELBURNE FALLS, MA",,"G",587,"G",3606,"G",16722,131,"SHELBURNE FALLS","MA","FRANKLIN"
"01373","SOUTH DEERFIELD, MA",,"H",2939,"H",40631,"H",158625,136,"SOUTH DEERFIELD","MA","FRANKLIN"
"01375","SUNDERLAND, MA",,"G",566,"H",6104,"H",36013,49,"SUNDERLAND","MA","FRANKLIN"
"01376","TURNERS FALLS, MA",,"G",1633,"G",15346,"G",66511,98,"TURNERS FALLS","MA","FRANKLIN"
"01378","WARWICK, MA",,"J",12,"H",44,"G",283,5,"WARWICK","MA","FRANKLIN"
"01379","WENDELL, MA",,"G",23,"H",116,"H",656,13,"WENDELL","MA","FRANKLIN"
"01380","WENDELL DEPOT, MA","A","D",0,"D",0,"D",0,2,"WENDELL DEPOT","MA","FRANKLIN"
"01420","FITCHBURG, MA",,"G",10041,"G",85477,"G",376546,745,"FITCHBURG","MA","WORCESTER"
"01430","ASHBURNHAM, MA",,"H",538,"H",4624,"H",21986,94,"ASHBURNHAM","MA","WORCESTER"
"01431","ASHBY, MA",,"G",174,"G",1284,"G",6455,59,"ASHBY","MA","MIDDLESEX"
"01432","AYER, MA",,"G",4076,"H",52569,"H",224194,229,"AYER","MA","MIDDLESEX"
"01434","DEVENS, MA",,"H",2773,"H",45749,"H",194287,66,"DEVENS","MA","MIDDLESEX"
"01436","BALDWINVILLE, MA",,"J",479,"J",5111,"J",22684,34,"BALDWINVILLE","MA","WORCESTER"
"01438","EAST TEMPLETON, MA",,"H",194,"H",1603,"H",8247,20,"EAST TEMPLETON","MA","WORCESTER"
"01440","GARDNER, MA",,"G",6714,"G",58191,"G",261501,411,"GARDNER","MA","WORCESTER"
"01441","WESTMINSTER, MA","F","D",0,"D",0,"D",0,10,"WESTMINSTER","MA","WORCESTER"
"01450","GROTON, MA",,"G",2118,"G",18885,"G",82125,211,"GROTON","MA","MIDDLESEX"
"01451","HARVARD, MA",,"H",666,"G",8660,"G",39457,141,"HARVARD","MA","WORCESTER"
"01452","HUBBARDSTON, MA",,"H",277,"H",2032,"G",9409,54,"HUBBARDSTON","MA","WORCESTER"
"01453","LEOMINSTER, MA",,"G",17424,"G",152601,"G",677100,1093,"LEOMINSTER","MA","WORCESTER"
"01460","LITTLETON, MA",,"H",7847,"H",179182,"H",705095,306,"LITTLETON","MA","MIDDLESEX"
"01462","LUNENBURG, MA",,"G",1807,"G",15983,"G",74560,203,"LUNENBURG","MA","WORCESTER"
"01463","PEPPERELL, MA",,"G",1327,"G",11608,"G",54693,208,"PEPPERELL","MA","MIDDLESEX"
"01464","SHIRLEY, MA",,"G",1332,"G",13570,"G",68617,117,"SHIRLEY","MA","MIDDLESEX"
"01467","STILL RIVER, MA",,"J",31,"H",242,"H",1137,8,"STILL RIVER","MA","WORCESTER"
"01468","TEMPLETON, MA",,"G",264,"G",2294,"G",10733,56,"TEMPLETON","MA","WORCESTER"
