address,link,rest_num
19 Saint Marks Place Manhattan NY,https://www.yelp.com/search?find_loc=19 Saint Marks Place Manhattan NY&cflt=restaurants,1898
340 21st Street Brooklyn NY,https://www.yelp.com/search?find_loc=340 21st Street Brooklyn NY&cflt=restaurants,210
423 Butler Street Brooklyn NY,https://www.yelp.com/search?find_loc=423 Butler Street Brooklyn NY&cflt=restaurants,530
227 Troy Avenue Brooklyn NY,https://www.yelp.com/search?find_loc=227 Troy Avenue Brooklyn NY&cflt=restaurants,254
24 Clifton Place Brooklyn NY,https://www.yelp.com/search?find_loc=24 Clifton Place Brooklyn NY&cflt=restaurants,385
333 86th Street Brooklyn NY,https://www.yelp.com/search?find_loc=333 86th Street Brooklyn NY&cflt=restaurants,294
246 East 112th Street New York NY,https://www.yelp.com/search?find_loc=246 East 112th Street New York NY&cflt=restaurants,424
16605 88th Avenue Jamaica NY,https://www.yelp.com/search?find_loc=16605 88th Avenue Jamaica NY&cflt=restaurants,249
3024 Brighton 3 Street Brooklyn NY,https://www.yelp.com/search?find_loc=3024 Brighton 3 Street Brooklyn NY&cflt=restaurants,126
10 Saint Marks Place Manhattan NY,https://www.yelp.com/search?find_loc=10 Saint Marks Place Manhattan NY&cflt=restaurants,1970
729 East 147th Street Bronx NY,https://www.yelp.com/search?find_loc=729 East 147th Street Bronx NY&cflt=restaurants,214
315 West 57th Street Manhattan NY,https://www.yelp.com/search?find_loc=315 West 57th Street Manhattan NY&cflt=restaurants,1463
477 Hicks Street Brooklyn NY,https://www.yelp.com/search?find_loc=477 Hicks Street Brooklyn NY&cflt=restaurants,329
111 West 16th Street Manhattan NY,https://www.yelp.com/search?find_loc=111 West 16th Street Manhattan NY&cflt=restaurants,2122
8915 102nd Street Queens NY,https://www.yelp.com/search?find_loc=8915 102nd Street Queens NY&cflt=restaurants,206
1670 Metropolitan Avenue Bronx NY,https://www.yelp.com/search?find_loc=1670 Metropolitan Avenue Bronx NY&cflt=restaurants,285
201 West 77th Street Manhattan NY,https://www.yelp.com/search?find_loc=201 West 77th Street Manhattan NY&cflt=restaurants,400
1612 Centre Street Ridgewood NY,https://www.yelp.com/search?find_loc=1612 Centre Street Ridgewood NY&cflt=restaurants,381
1540 Carroll Street Brooklyn NY,https://www.yelp.com/search?find_loc=1540 Carroll Street Brooklyn NY&cflt=restaurants,215
59 East 73rd Street Manhattan NY,https://www.yelp.com/search?find_loc=59 East 73rd Street Manhattan NY&cflt=restaurants,711
428 West 48th Street Manhattan NY,https://www.yelp.com/search?find_loc=428 West 48th Street Manhattan NY&cflt=restaurants,1676
305 West 45th Street Manhattan NY,https://www.yelp.com/search?find_loc=305 West 45th Street Manhattan NY&cflt=restaurants,2340
52 8th Avenue Manhattan NY,https://www.yelp.com/search?find_loc=52 8th Avenue Manhattan NY&cflt=restaurants,1404
254 Park Avenue S Manhattan NY,https://www.yelp.com/search?find_loc=254 Park Avenue S Manhattan NY&cflt=restaurants,2627
11 East 36th Street Manhattan NY,https://www.yelp.com/search?find_loc=11 East 36th Street Manhattan NY&cflt=restaurants,2818
3635 167th Street Flushing NY,https://www.yelp.com/search?find_loc=3635 167th Street Flushing NY&cflt=restaurants,154
209 Avenue P Brooklyn NY,https://www.yelp.com/search?find_loc=209 Avenue P Brooklyn NY&cflt=restaurants,200
22903 Horace Harding Expy Oakland Gardens NY,https://www.yelp.com/search?find_loc=22903 Horace Harding Expy Oakland Gardens NY&cflt=restaurants,34
2976 Marion Avenue Bronx NY,https://www.yelp.com/search?find_loc=2976 Marion Avenue Bronx NY&cflt=restaurants,177
60 Broadway Brooklyn NY,https://www.yelp.com/search?find_loc=60 Broadway Brooklyn NY&cflt=restaurants,360
244 West 72nd Street Manhattan NY,https://www.yelp.com/search?find_loc=244 West 72nd Street Manhattan NY&cflt=restaurants,392
348 East 51st Street Manhattan NY,https://www.yelp.com/search?find_loc=348 East 51st Street Manhattan NY&cflt=restaurants,1511
13530 Grand Central Parkway Briarwood NY,https://www.yelp.com/search?find_loc=13530 Grand Central Parkway Briarwood NY&cflt=restaurants,151
3011 34th Street Astoria NY,https://www.yelp.com/search?find_loc=3011 34th Street Astoria NY&cflt=restaurants,642
274 Himrod Street Brooklyn NY,https://www.yelp.com/search?find_loc=274 Himrod Street Brooklyn NY&cflt=restaurants,456
501 East 87th Street Manhattan NY,https://www.yelp.com/search?find_loc=501 East 87th Street Manhattan NY&cflt=restaurants,556
2721 23rd Street Astoria NY,https://www.yelp.com/search?find_loc=2721 23rd Street Astoria NY&cflt=restaurants,405
707 Beverly Road Brooklyn NY,https://www.yelp.com/search?find_loc=707 Beverly Road Brooklyn NY&cflt=restaurants,250
14105 Pershing Crescent Briarwood NY,https://www.yelp.com/search?find_loc=14105 Pershing Crescent Briarwood NY&cflt=restaurants,198
1540 Walton Avenue Bronx NY,https://www.yelp.com/search?find_loc=1540 Walton Avenue Bronx NY&cflt=restaurants,216
246 West 20th Street Manhattan NY,https://www.yelp.com/search?find_loc=246 West 20th Street Manhattan NY&cflt=restaurants,1683
14320 Hoover Avenue Queens NY,https://www.yelp.com/search?find_loc=14320 Hoover Avenue Queens NY&cflt=restaurants,122
9830 67th Avenue Rego Park NY,https://www.yelp.com/search?find_loc=9830 67th Avenue Rego Park NY&cflt=restaurants,259
250 East 40th Street Manhattan NY,https://www.yelp.com/search?find_loc=250 East 40th Street Manhattan NY&cflt=restaurants,1838
300 East 23rd Street Manhattan NY,https://www.yelp.com/search?find_loc=300 East 23rd Street Manhattan NY&cflt=restaurants,1513
1409 71st Street Brooklyn NY,https://www.yelp.com/search?find_loc=1409 71st Street Brooklyn NY&cflt=restaurants,166
1727 2nd Avenue Manhattan NY,https://www.yelp.com/search?find_loc=1727 2nd Avenue Manhattan NY&cflt=restaurants,606
242 Ovington Avenue Brooklyn NY,https://www.yelp.com/search?find_loc=242 Ovington Avenue Brooklyn NY&cflt=restaurants,246
9446 85th Road Woodhaven NY,https://www.yelp.com/search?find_loc=9446 85th Road Woodhaven NY&cflt=restaurants,156
1575 President Street Brooklyn NY,https://www.yelp.com/search?find_loc=1575 President Street Brooklyn NY&cflt=restaurants,224
781 5th Avenue Manhattan NY,https://www.yelp.com/search?find_loc=781 5th Avenue Manhattan NY&cflt=restaurants,1713
4163 Amboy Road Staten Island NY,https://www.yelp.com/search?find_loc=4163 Amboy Road Staten Island NY&cflt=restaurants,55
341 West End Avenue Manhattan NY,https://www.yelp.com/search?find_loc=341 West End Avenue Manhattan NY&cflt=restaurants,397
306 West 80th Street Manhattan NY,https://www.yelp.com/search?find_loc=306 West 80th Street Manhattan NY&cflt=restaurants,401
22 Jackson Avenue Long Island City NY,https://www.yelp.com/search?find_loc=22 Jackson Avenue Long Island City NY&cflt=restaurants,282
2310 41st Avenue Long Island City NY,https://www.yelp.com/search?find_loc=2310 41st Avenue Long Island City NY&cflt=restaurants,291
506 West 150th Street Manhattan NY,https://www.yelp.com/search?find_loc=506 West 150th Street Manhattan NY&cflt=restaurants,340
584 Macdonough Street Brooklyn NY,https://www.yelp.com/search?find_loc=584 Macdonough Street Brooklyn NY&cflt=restaurants,199
60 West 57th Street Manhattan NY,https://www.yelp.com/search?find_loc=60 West 57th Street Manhattan NY&cflt=restaurants,2102
8614 Park Lane South Woodhaven NY,https://www.yelp.com/search?find_loc=8614 Park Lane South Woodhaven NY&cflt=restaurants,146
412 Herkimer Street Brooklyn NY,https://www.yelp.com/search?find_loc=412 Herkimer Street Brooklyn NY&cflt=restaurants,322
21001 43rd Avenue Queens NY,https://www.yelp.com/search?find_loc=21001 43rd Avenue Queens NY&cflt=restaurants,165
189 West 10th Street Manhattan NY,https://www.yelp.com/search?find_loc=189 West 10th Street Manhattan NY&cflt=restaurants,1446
1869 East 32nd Street Brooklyn NY,https://www.yelp.com/search?find_loc=1869 East 32nd Street Brooklyn NY&cflt=restaurants,99
112 West 121st Street Manhattan NY,https://www.yelp.com/search?find_loc=112 West 121st Street Manhattan NY&cflt=restaurants,462
1800 Archer Street Bronx NY,https://www.yelp.com/search?find_loc=1800 Archer Street Bronx NY&cflt=restaurants,205
92 Horatio Street Manhattan NY,https://www.yelp.com/search?find_loc=92 Horatio Street Manhattan NY&cflt=restaurants,1034
4235 192nd Street Flushing NY,https://www.yelp.com/search?find_loc=4235 192nd Street Flushing NY&cflt=restaurants,78
92 Grove Street Manhattan NY,https://www.yelp.com/search?find_loc=92 Grove Street Manhattan NY&cflt=restaurants,1596
503 Hicks Street Brooklyn NY,https://www.yelp.com/search?find_loc=503 Hicks Street Brooklyn NY&cflt=restaurants,329
4501 Broadway Manhattan NY,https://www.yelp.com/search?find_loc=4501 Broadway Manhattan NY&cflt=restaurants,269
340 East 55th Street Manhattan NY,https://www.yelp.com/search?find_loc=340 East 55th Street Manhattan NY&cflt=restaurants,1400
855 Knickerbocker Avenue Brooklyn NY,https://www.yelp.com/search?find_loc=855 Knickerbocker Avenue Brooklyn NY&cflt=restaurants,274
41 West 90th Street Manhattan NY,https://www.yelp.com/search?find_loc=41 West 90th Street Manhattan NY&cflt=restaurants,395
661 West 179th Street Manhattan NY,https://www.yelp.com/search?find_loc=661 West 179th Street Manhattan NY&cflt=restaurants,245
3550 75th Street Jackson Heights NY,https://www.yelp.com/search?find_loc=3550 75th Street Jackson Heights NY&cflt=restaurants,582
1550 Unionport Road Bronx NY,https://www.yelp.com/search?find_loc=1550 Unionport Road Bronx NY&cflt=restaurants,269
300 Rector Place Manhattan NY,https://www.yelp.com/search?find_loc=300 Rector Place Manhattan NY&cflt=restaurants,927
229 Maujer Street Brooklyn NY,https://www.yelp.com/search?find_loc=229 Maujer Street Brooklyn NY&cflt=restaurants,356
721 5th Avenue Manhattan NY,https://www.yelp.com/search?find_loc=721 5th Avenue Manhattan NY&cflt=restaurants,1993
119 15th Street Brooklyn NY,https://www.yelp.com/search?find_loc=119 15th Street Brooklyn NY&cflt=restaurants,348
154 Garfield Place Brooklyn NY,https://www.yelp.com/search?find_loc=154 Garfield Place Brooklyn NY&cflt=restaurants,474
2632 West 2nd Street Brooklyn NY,https://www.yelp.com/search?find_loc=2632 West 2nd Street Brooklyn NY&cflt=restaurants,163
