,address,days_on_trulia,elementary_school_count,high_school_count,middle_school_count,pets_allowed,price,sqft,url,zip_code,school_count,evac,guarantor,storage,garage,deck,elevator,dishwasher,pets,fios available,live in super,fitness center,washing machine,dryer,concierge,balcony,air conditioning,flooring: hardwood,recreation facilities,garden,pied a terre,childrens playroom,terrace,courtyard,pool,furnished,fireplace,sublets,valet parking,off-street parking,cable tv ready,board approval required,parents,co purchase,leed registered,microwave oven
1016,"330 East 46th Street, Manhattan, NY",14,40,12,22,0,3800,729,https://www.trulia.com/p/ny/manhattan/330-e-46th-st-11-d-manhattan-ny-10017--2171886518,10017,74,,0,0,0,1,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1017,"330 East 46th Street, Manhattan, NY",14,40,12,22,0,3550,579,https://www.trulia.com/p/ny/manhattan/330-e-46th-st-9j-manhattan-ny-10017--2171793825,10017,74,,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1018,"1992 3rd Avenue, Manhattan, NY",14,27,6,15,0,2157,,https://www.trulia.com/p/ny/manhattan/1992-3rd-ave-8f-manhattan-ny-10029--2331847565,10029,48,4,0,1,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1019,"78 Ridge Street, Manhattan, NY",15,38,13,18,1,3295,,https://www.trulia.com/p/ny/manhattan/78-ridge-st-4h-manhattan-ny-10002--2008541404,10002,69,5,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,"55 West 25th Street, Manhattan, NY",27,43,14,22,0,4875,690,https://www.trulia.com/p/ny/manhattan/55-w-25th-st-6-p-manhattan-ny-10010--2171930606,10010,79,,0,1,0,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1020,"65 West 55th Street, Manhattan, NY",15,39,11,22,0,3300,,https://www.trulia.com/p/ny/manhattan/65-w-55th-st-5b-manhattan-ny-10019--2175013333,10019,72,,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1021,"102 East 31st Street, Manhattan, NY",15,42,14,23,0,2500,,https://www.trulia.com/p/ny/manhattan/102-e-31st-st-1d-manhattan-ny-10016--2175681292,10016,79,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1024,"311 West 50th Street, Manhattan, NY",2,40,10,22,0,3995,,https://www.trulia.com/p/ny/manhattan/311-w-50th-st-3f-manhattan-ny-10019--2175815182,10019,72,,0,0,0,0,1,1,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1025,"250 East Houston Street, New York, NY",15,39,13,17,1,3500,,https://www.trulia.com/rental/4035264446-250-E-Houston-St-3J-New-York-NY-10002,10002,69,,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1026,"140 Wadsworth Avenue, Manhattan, NY",15,22,6,8,0,2150,,https://www.trulia.com/p/ny/manhattan/140-wadsworth-ave-a48-manhattan-ny-10033--2351501252,10033,36,,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1027,"308 West 103rd Street, Manhattan, NY",15,27,6,14,1,2495,625,https://www.trulia.com/p/ny/manhattan/308-w-103rd-st-6g-manhattan-ny-10025--2176807359,10025,47,,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1028,"300 West 110th Street, New York, NY",15,28,6,14,1,2900,589,https://www.trulia.com/p/ny/new-york/300-w-110th-st-5f-new-york-ny-10026--2088883555,10026,48,,0,1,0,0,1,1,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1029,"205 Columbus Avenue, Manhattan, NY",15,29,10,20,0,2250,,https://www.trulia.com/p/ny/manhattan/205-columbus-ave-4b-manhattan-ny-10023--2351502054,10023,59,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,"6 Spring Street, Manhattan, NY",2,39,13,17,0,2950,,https://www.trulia.com/p/ny/manhattan/6-spring-st-2re-manhattan-ny-10012--2172456281,10012,69,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1030,"334 East 74th Street, Manhattan, NY",15,29,8,20,0,3275,,https://www.trulia.com/p/ny/manhattan/334-e-74th-st-4-b-manhattan-ny-10021--2173765978,10021,57,,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1031,"234 East 88th Street, Manhattan, NY",15,27,8,18,0,2649,,https://www.trulia.com/p/ny/manhattan/234-e-88th-st-3a-manhattan-ny-10128--2171909695,10128,53,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1032,"127 Riverside Drive, Manhattan, NY",15,25,9,16,0,3200,,https://www.trulia.com/p/ny/manhattan/127-riverside-dr-71-manhattan-ny-10024--2346387605,10024,50,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1033,"60 East 8th Street, Manhattan, NY",15,43,13,19,0,4975,,https://www.trulia.com/p/ny/manhattan/60-e-8th-st-34d-manhattan-ny-10003--2172403609,10003,75,,0,1,1,1,1,0,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1034,"1 University Place, Manhattan, NY",15,43,13,19,0,4395,850,https://www.trulia.com/p/ny/manhattan/1-university-pl-9e-manhattan-ny-10003--2172465644,10003,75,,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1035,"2 Horatio Street, Manhattan, NY",2,44,16,22,1,5400,,https://www.trulia.com/p/ny/manhattan/2-horatio-st-1m-manhattan-ny-10014--2191406167,10014,82,5,1,1,0,1,1,0,1,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1036,"720 Greenwich Street, Manhattan, NY",15,45,17,19,1,5750,987,https://www.trulia.com/p/ny/manhattan/720-greenwich-st-9d-manhattan-ny-10014--2008623945,10014,81,4,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
1037,"4863 Broadway, Manhattan, NY",15,21,6,13,0,1825,,https://www.trulia.com/p/ny/manhattan/4863-broadway-6p-manhattan-ny-10034--2351503892,10034,40,6,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1038,"458 West 50th Street, Manhattan, NY",15,38,9,21,0,2700,,https://www.trulia.com/p/ny/manhattan/458-w-50th-st-1-manhattan-ny-10019--2171918545,10019,68,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1039,"57 West 58th Street, Manhattan, NY",15,34,9,20,1,2975,640,https://www.trulia.com/p/ny/manhattan/57-w-58th-st-7f-manhattan-ny-10019--2088852368,10019,63,,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
104,"605 West 156th Street, Manhattan, NY",2,19,3,8,0,1995,,https://www.trulia.com/p/ny/manhattan/605-w-156th-st-3-manhattan-ny-10032--2181572915,10032,30,,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1040,"311 East 61st Street, New York, NY",15,39,10,23,0,2495,,https://www.trulia.com/p/ny/new-york/311-e-61st-st-9-new-york-ny-10065--2173700343,10065,72,,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1041,"320 East 42nd Street, Manhattan, NY",15,40,13,22,1,3000,,https://www.trulia.com/p/ny/manhattan/320-e-42nd-st-1510-manhattan-ny-10017--2173712845,10017,75,,1,1,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
1042,"38 West 56th Street, Manhattan, NY",15,39,11,22,0,2700,,https://www.trulia.com/p/ny/manhattan/38-w-56th-st-3-r-manhattan-ny-10019--2180446021,10019,72,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1043,"253 East 52nd Street, Manhattan, NY",15,38,13,21,0,2400,500,https://www.trulia.com/p/ny/manhattan/253-e-52nd-st-1d-manhattan-ny-10022--2171602937,10022,72,,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1044,"207 West 10th Street, Manhattan, NY",15,44,17,20,0,3500,,https://www.trulia.com/p/ny/manhattan/207-w-10th-st-4d-manhattan-ny-10014--2172628808,10014,81,5,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1045,"480 Main Street, New York, NY",15,31,11,19,0,3435,,https://www.trulia.com/p/ny/new-york/480-main-st-28921-new-york-ny-10044--2284056717,10044,61,,0,1,0,1,1,0,1,1,1,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1046,"50 West Street, Manhattan, NY",2,38,14,18,0,8500,"1,258",https://www.trulia.com/p/ny/manhattan/50-west-st-46d-manhattan-ny-10006--2008559391,10006,70,1,0,1,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
