,address,days_on_trulia,elementary_school_count,high_school_count,middle_school_count,pets_allowed,price,sqft,url,zip_code,school_count,evac,guarantor,storage,garage,deck,elevator,dishwasher,pets,fios available,live in super,fitness center,washing machine,dryer,concierge,balcony,air conditioning,flooring: hardwood,recreation facilities,garden,pied a terre,childrens playroom,terrace,courtyard,pool,furnished,fireplace,sublets,valet parking,off-street parking,cable tv ready,board approval required,parents,co purchase,leed registered,microwave oven
2046,"442 West 57th Street, Manhattan, NY",5,34,9,21,1,3195,,https://www.trulia.com/p/ny/manhattan/442-w-57th-st-7b-manhattan-ny-10019--2173389242,10019,64,,1,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2047,"319 East 115th Street, Manhattan, NY",51,28,5,16,0,2250,700,https://www.trulia.com/p/ny/manhattan/319-e-115th-st-2a-manhattan-ny-10029--2194532341,10029,49,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2048,"433 West 54th Street, Manhattan, NY",51,37,9,21,1,2375,625,https://www.trulia.com/p/ny/manhattan/433-w-54th-st-14-manhattan-ny-10019--2346022805,10019,67,,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
2049,"130 West 67th Street, Manhattan, NY",51,30,10,22,1,3500,,https://www.trulia.com/p/ny/manhattan/130-w-67th-st-15h-manhattan-ny-10023--2177912339,10023,62,,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
205,"134 West 82nd Street, Manhattan, NY",3,26,9,15,1,2999,,https://www.trulia.com/p/ny/manhattan/134-w-82nd-st-2-c-manhattan-ny-10024--2171899458,10024,50,,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2050,"230 West 56th Street, Manhattan, NY",51,34,9,21,1,4900,811,https://www.trulia.com/p/ny/manhattan/230-w-56th-st-54d-manhattan-ny-10019--2088847160,10019,64,,0,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2051,"250 East 49th Street, Manhattan, NY",51,39,12,21,1,3800,667,https://www.trulia.com/p/ny/manhattan/250-e-49th-st-10b-manhattan-ny-10017--2088841726,10017,72,6,0,1,0,1,1,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2052,"100 Maiden Lane, Manhattan, NY",51,35,14,16,1,3289,,https://www.trulia.com/p/ny/manhattan/100-maiden-ln-2105-manhattan-ny-10038--2171914749,10038,65,2,1,0,1,1,1,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
2053,"90 West Street, Manhattan, NY",51,39,14,19,0,3508,,https://www.trulia.com/p/ny/manhattan/90-west-st-23f-manhattan-ny-10006--2171931297,10006,72,1,0,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2054,"1992 3rd Avenue, Manhattan, NY",51,27,6,15,0,2092,,https://www.trulia.com/p/ny/manhattan/1992-3rd-ave-3b-manhattan-ny-10029--2333602340,10029,48,4,0,1,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2055,"27 Bedford Street, Manhattan, NY",51,44,15,19,0,3158,,https://www.trulia.com/p/ny/manhattan/27-bedford-st-aa3-manhattan-ny-10014--2347181883,10014,78,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2056,"419 East 82nd Street, Manhattan, NY",51,30,7,19,0,2900,,https://www.trulia.com/p/ny/manhattan/419-e-82nd-st-2d-manhattan-ny-10028--2171891826,10028,56,,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2057,"23 West 82nd Street, Manhattan, NY",5,27,9,15,1,2950,,https://www.trulia.com/p/ny/manhattan/23-w-82nd-st-3f-manhattan-ny-10024--2174135937,10024,51,,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2058,"22 Jones Street, Manhattan, NY",54,42,16,18,0,3750,,https://www.trulia.com/p/ny/manhattan/22-jones-st-5e-manhattan-ny-10014--2172214068,10014,76,5,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2059,"524 West 149th Street, Manhattan, NY",54,23,3,10,0,2150,,https://www.trulia.com/p/ny/manhattan/524-w-149th-st-2-manhattan-ny-10031--2346907208,10031,36,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
206,"572 11th Avenue, Manhattan, NY",3,42,10,23,0,4200,,https://www.trulia.com/p/ny/manhattan/572-11th-ave-6a-manhattan-ny-10036--2351900535,10036,75,4,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0
2060,"170 West 74th Street, Manhattan, NY",55,27,11,17,1,2450,600,https://www.trulia.com/p/ny/manhattan/170-w-74th-st-712-manhattan-ny-10023--2173778501,10023,55,,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
2061,"16 West 87th Street, Manhattan, NY",55,27,7,15,0,2895,,https://www.trulia.com/p/ny/manhattan/16-w-87th-st-4r-manhattan-ny-10024--2174093557,10024,49,,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2062,"137 Duane Street, Manhattan, NY",55,39,13,19,1,5500,925,https://www.trulia.com/p/ny/manhattan/137-duane-st-4c-manhattan-ny-10013--2008598008,10013,71,,0,0,0,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2063,"29 West 70th Street, Manhattan, NY",55,29,10,20,0,2900,600,https://www.trulia.com/p/ny/manhattan/29-w-70th-st-1r-manhattan-ny-10023--2346902073,10023,59,,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2064,"50 East 72nd Street, Manhattan, NY",56,30,9,20,1,5250,810,https://www.trulia.com/p/ny/manhattan/50-e-72nd-st-10d-manhattan-ny-10021--2088856429,10021,59,,0,0,0,0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2065,"2 South End Avenue, Manhattan, NY",56,38,14,18,1,3100,650,https://www.trulia.com/p/ny/manhattan/2-s-end-ave-4t-manhattan-ny-10280--2088918312,10280,70,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2066,"54 West 91st Street, Manhattan, NY",56,27,7,15,0,3000,700,https://www.trulia.com/p/ny/manhattan/54-w-91st-st-2r-manhattan-ny-10024--2346892349,10024,49,,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2068,"200-220 West 26th Street, Manhattan, NY",5,42,13,22,0,4275,,https://www.trulia.com/p/ny/manhattan/200-220-w-26th-st-508-manhattan-ny-10001--2171616084,10001,77,5,0,0,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2069,"232 East 83rd Street, Manhattan, NY",56,30,7,19,0,2995,,https://www.trulia.com/p/ny/manhattan/232-e-83rd-st-1rw-manhattan-ny-10028--2173367853,10028,56,,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
207,"339 East 88th Street, Manhattan, NY",3,28,8,18,0,2475,,https://www.trulia.com/p/ny/manhattan/339-e-88th-st-1f-manhattan-ny-10128--2171789018,10128,54,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2070,"400 East 70th Street, Manhattan, NY",56,33,8,20,0,3800,787,https://www.trulia.com/p/ny/manhattan/400-e-70th-st-1406-manhattan-ny-10021--2088855426,10021,61,,0,1,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2071,"29 King Street, Manhattan, NY",56,42,15,19,1,5250,,https://www.trulia.com/p/ny/manhattan/29-king-st-2g-manhattan-ny-10014--2008617066,10014,76,,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2072,"128 Fort Washington Avenue, Manhattan, NY",56,20,5,9,0,1875,,https://www.trulia.com/p/ny/manhattan/128-fort-washington-ave-6b-manhattan-ny-10032--2284324458,10032,34,,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2073,"170 2nd Avenue, Manhattan, NY",56,43,13,19,1,3750,,https://www.trulia.com/p/ny/manhattan/170-2nd-ave-6c-manhattan-ny-10003--2173617287,10003,75,6,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
2074,"11 East 12th Street, Manhattan, NY",56,43,15,19,0,3895,"1,000",https://www.trulia.com/p/ny/manhattan/11-e-12th-st-1r-manhattan-ny-10003--2171895419,10003,77,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2075,"270 West 12th Street, Manhattan, NY",56,45,17,20,1,3100,,https://www.trulia.com/p/ny/manhattan/270-w-12th-st-3b-manhattan-ny-10014--2174154559,10014,82,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2076,"49 East 74th Street, Manhattan, NY",56,30,9,20,0,3950,,https://www.trulia.com/p/ny/manhattan/49-e-74th-st-5b-manhattan-ny-10021--2174106010,10021,59,,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2077,"230 West 56th Street, Manhattan, NY",56,34,9,21,1,4750,,https://www.trulia.com/p/ny/manhattan/230-w-56th-st-56d-manhattan-ny-10019--2088847172,10019,64,,0,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2078,"7 East 14th Street, Manhattan, NY",56,43,16,19,1,3300,600,https://www.trulia.com/p/ny/manhattan/7-e-14th-st-507-manhattan-ny-10003--2181865386,10003,78,,0,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2079,"227 West 77th Street, Manhattan, NY",5,26,11,16,0,4423,,https://www.trulia.com/p/ny/manhattan/227-w-77th-st-3c-manhattan-ny-10024--2179252783,10024,53,,0,1,0,1,1,1,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
208,"77 West 55th Street, Manhattan, NY",3,39,11,22,1,2550,590,https://www.trulia.com/p/ny/manhattan/77-w-55th-st-7d-manhattan-ny-10019--2088852973,10019,72,,0,1,1,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2080,"350 West 42nd Street, Manhattan, NY",56,41,12,23,1,4500,,https://www.trulia.com/p/ny/manhattan/350-w-42nd-st-f1-manhattan-ny-10036--2345188251,10036,76,,0,1,1,1,1,1,1,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,1,1,0,0
2081,"1 Bond Street, Manhattan, NY",56,40,13,17,1,4300,"1,400",https://www.trulia.com/p/ny/manhattan/1-bond-st-5a-manhattan-ny-10012--2172100734,10012,70,,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2082,"639 West 173rd Street, Manhattan, NY",56,21,5,8,0,2175,,https://www.trulia.com/p/ny/manhattan/639-w-173rd-st-10a-manhattan-ny-10033--2194811544,10033,34,,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2083,"306 East 83rd Street, Manhattan, NY",56,30,7,19,0,2200,,https://www.trulia.com/p/ny/manhattan/306-e-83rd-st-3-d-manhattan-ny-10028--2179952679,10028,56,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2084,"149 West 80th Street, Manhattan, NY",57,27,9,15,0,3895,,https://www.trulia.com/p/ny/manhattan/149-w-80th-st-1-b-manhattan-ny-10024--2171904931,10024,51,,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2085,"366 West 11th Street, Manhattan, NY",57,45,18,18,1,3995,,https://www.trulia.com/p/ny/manhattan/366-w-11th-st-2b-manhattan-ny-10014--2088831017,10014,81,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2086,"225 West 83rd Street, Manhattan, NY",57,26,8,16,1,3595,,https://www.trulia.com/p/ny/manhattan/225-w-83rd-st-17k-manhattan-ny-10024--2088872272,10024,50,,0,1,0,0,1,0,0,0,1,1,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2087,"32 West 131st Street, Manhattan, NY",57,26,4,13,0,1900,,https://www.trulia.com/p/ny/manhattan/32-w-131st-st-5e-manhattan-ny-10037--2346851451,10037,43,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2088,"212 East 47th Street, Manhattan, NY",57,39,13,21,1,3500,692,https://www.trulia.com/p/ny/manhattan/212-e-47th-st-6b-manhattan-ny-10017--2172043136,10017,73,,0,1,1,1,1,1,0,1,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2089,"317 East 73rd Street, Manhattan, NY",57,30,8,20,0,2800,,https://www.trulia.com/p/ny/manhattan/317-e-73rd-st-3rw-manhattan-ny-10021--2174159317,10021,58,,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
209,"305 West 45th Street, Manhattan, NY",3,41,12,23,0,2725,,https://www.trulia.com/p/ny/manhattan/305-w-45th-st-3g-manhattan-ny-10036--2171817040,10036,76,,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2090,"401 West 22nd Street, Manhattan, NY",6,43,14,23,0,3900,,https://www.trulia.com/p/ny/manhattan/401-w-22nd-st-7h-manhattan-ny-10011--2173843637,10011,80,2,1,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2091,"403 West 205th Street, Manhattan, NY",57,22,6,10,1,1650,,https://www.trulia.com/p/ny/manhattan/403-w-205th-st-55-manhattan-ny-10034--2346759380,10034,38,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2092,"340 East 86th Street, New York, NY",57,30,7,19,0,2040,,https://www.trulia.com/rental/4044391714-340-E-86th-St-New-York-NY-10028,10028,56,,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2093,"56 Perry Street, Manhattan, NY",57,44,17,19,0,3295,,https://www.trulia.com/p/ny/manhattan/56-perry-st-1rw-manhattan-ny-10014--2346836327,10014,80,,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2094,"485 Columbus Avenue, Manhattan, NY",57,26,9,15,0,2150,,https://www.trulia.com/p/ny/manhattan/485-columbus-ave-2d-manhattan-ny-10024--2171892712,10024,50,,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2095,"231 East 96th Street, Manhattan, NY",57,26,8,16,0,1950,,https://www.trulia.com/p/ny/manhattan/231-e-96th-st-5fw-manhattan-ny-10128--2171815527,10128,50,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2096,"15 Sickles Street, Manhattan, NY",57,23,6,10,0,1500,,https://www.trulia.com/p/ny/manhattan/15-sickles-st-1e-manhattan-ny-10040--2346855959,10040,39,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2097,"244 West 123rd Street, Manhattan, NY",57,26,4,13,0,2350,,https://www.trulia.com/p/ny/manhattan/244-w-123rd-st-2-manhattan-ny-10027--2172489379,10027,43,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2098,"303 10th Avenue, Manhattan, NY",57,45,16,23,1,4149,,https://www.trulia.com/p/ny/manhattan/303-10th-ave-8c-manhattan-ny-10001--2171899014,10001,84,2,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2099,"280 Rector Place, Manhattan, NY",57,39,14,19,1,3195,,https://www.trulia.com/p/ny/manhattan/280-rector-pl-8g-manhattan-ny-10280--2008716378,10280,72,1,0,1,1,1,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,"620 West 42nd Street, Manhattan, NY",2,42,11,22,0,4690,,https://www.trulia.com/p/ny/manhattan/620-w-42nd-st-s49f-manhattan-ny-10036--2351995992,10036,75,,0,1,1,1,1,0,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
210,"214 East 10th Street, Manhattan, NY",3,43,13,19,0,2450,,https://www.trulia.com/p/ny/manhattan/214-e-10th-st-22-manhattan-ny-10003--2171815457,10003,75,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100,"310 East 105th Street, Manhattan, NY",58,26,6,17,0,2500,,https://www.trulia.com/p/ny/manhattan/310-e-105th-st-7-manhattan-ny-10029--2346754152,10029,49,3,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2101,"189 West 10th Street, Manhattan, NY",6,44,17,20,0,2875,,https://www.trulia.com/p/ny/manhattan/189-w-10th-st-3w-manhattan-ny-10014--2351566920,10014,81,5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2102,"10 Mitchell Place, Manhattan, NY",58,39,12,22,1,2950,625,https://www.trulia.com/p/ny/manhattan/10-mitchell-pl-1a-manhattan-ny-10017--2171938064,10017,73,6,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
2103,"147 West 13th Street, Manhattan, NY",58,43,15,21,0,6250,,https://www.trulia.com/p/ny/manhattan/147-w-13th-st-3-manhattan-ny-10011--2088823515,10011,79,6,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2105,"252 7th Avenue, Manhattan, NY",58,42,13,22,1,6000,"1,162",https://www.trulia.com/p/ny/manhattan/252-7th-ave-6b-manhattan-ny-10001--2008527138,10001,77,5,0,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2106,"88 Bleecker Street, Manhattan, NY",58,40,13,17,1,3200,,https://www.trulia.com/p/ny/manhattan/88-bleecker-st-lc-manhattan-ny-10012--222206,10012,70,,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2107,"220 East 72nd Street, Manhattan, NY",58,29,9,21,1,6000,,https://www.trulia.com/p/ny/manhattan/220-e-72nd-st-phcsp-manhattan-ny-10021--2173832936,10021,59,,1,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2108,"350 West 85th Street, Manhattan, NY",58,25,9,16,0,2300,,https://www.trulia.com/p/ny/manhattan/350-w-85th-st-39-manhattan-ny-10024--2172997625,10024,50,,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2109,"309 East 95th Street, Manhattan, NY",58,26,8,17,0,2100,,https://www.trulia.com/p/ny/manhattan/309-e-95th-st-15-manhattan-ny-10128--2173711223,10128,51,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
211,"214 Front Street, Manhattan, NY",3,28,10,13,0,4300,,https://www.trulia.com/p/ny/manhattan/214-front-st-2a-manhattan-ny-10038--2171791566,10038,51,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2110,"344 East 55th Street, Manhattan, NY",59,38,12,23,0,3200,,https://www.trulia.com/p/ny/manhattan/344-e-55th-st-1c-manhattan-ny-10022--2171637843,10022,73,,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2111,"404 East 76th Street, Manhattan, NY",59,29,8,21,0,3750,850,https://www.trulia.com/p/ny/manhattan/404-e-76th-st-19b-manhattan-ny-10021--2088855711,10021,58,6,1,1,0,1,1,1,0,1,1,1,0,1,1,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2113,"113 Avenue A, Manhattan, NY",6,39,14,18,0,2500,,https://www.trulia.com/p/ny/manhattan/113-avenue-a-2b-manhattan-ny-10009--2351865663,10009,71,5,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2114,"1326 Madison Avenue, Manhattan, NY",59,27,6,16,1,3600,,https://www.trulia.com/p/ny/manhattan/1326-madison-ave-73-manhattan-ny-10128--2008710754,10128,49,,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2115,"110 Waverly Place, Manhattan, NY",59,42,16,19,0,3995,,https://www.trulia.com/p/ny/manhattan/110-waverly-pl-2-manhattan-ny-10011--2346668085,10011,77,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2116,"535 East 87th Street, Manhattan, NY",59,30,7,19,0,2786,,https://www.trulia.com/p/ny/manhattan/535-e-87th-st-1c-manhattan-ny-10128--2346665421,10128,56,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2117,"200 East 69th Street, New York, NY",59,32,10,21,1,3750,,https://www.trulia.com/p/ny/new-york/200-e-69th-st-5q-new-york-ny-10021--2088853992,10021,63,,0,1,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2118,"117 West 58th Street, Manhattan, NY",59,34,9,20,0,2850,,https://www.trulia.com/p/ny/manhattan/117-w-58th-st-11g-manhattan-ny-10019--2171902181,10019,63,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2119,"409 East 87th Street, Manhattan, NY",59,30,7,19,0,2900,,https://www.trulia.com/p/ny/manhattan/409-e-87th-st-d-manhattan-ny-10128--2172894607,10128,56,,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
212,"273 West 10th Street, Manhattan, NY",3,44,17,20,1,3595,600,https://www.trulia.com/rental/4046733276-273-W-10th-St-Manhattan-NY-10014,10014,81,,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2120,"150 West 51st Street, Manhattan, NY",60,41,11,23,0,3900,,https://www.trulia.com/p/ny/manhattan/150-w-51st-st-1509-manhattan-ny-10019--2171897573,10019,75,,0,0,1,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2121,"428 West 48th Street, Manhattan, NY",60,40,10,22,0,2375,,https://www.trulia.com/p/ny/manhattan/428-w-48th-st-4fw-manhattan-ny-10036--2171605322,10036,72,,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2122,"252 7th Avenue, Manhattan, NY",60,42,13,22,1,10000,"1,294",https://www.trulia.com/p/ny/manhattan/252-7th-ave-17e-manhattan-ny-10001--2008527041,10001,77,5,0,1,1,1,1,1,0,1,1,1,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2123,"350 East 65th Street, New York, NY",61,36,9,22,0,2250,,https://www.trulia.com/p/ny/new-york/350-e-65th-st-17-new-york-ny-10065--2172148966,10065,67,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2124,"301 East 38th Street, Manhattan, NY",6,41,14,22,0,2495,,https://www.trulia.com/p/ny/manhattan/301-e-38th-st-1a-manhattan-ny-10016--2088835544,10016,77,6,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2125,"329 Pleasant Avenue, Manhattan, NY",62,27,5,16,1,2700,,https://www.trulia.com/p/ny/manhattan/329-pleasant-ave-5a-manhattan-ny-10035--2288716503,10035,48,3,1,0,0,0,1,1,1,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2126,"795 5th Avenue, New York, NY",62,34,9,20,1,20000,975,https://www.trulia.com/p/ny/new-york/795-5th-ave-1003-new-york-ny-10065--2346550286,10065,63,,0,1,1,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
